source,target,value
guest:Adam Grant,07GQhOZboEZOE1ysnFLipT,4
guest:Adam Grant,08F60fHBihlcqWZTr7Thzc,7
guest:Adam Grant,08XveTtMJIYffPwjjVwpSM,7
guest:Adam Grant,0LWSUrSDGK14aMWGf5sMT4,1
guest:Adam Grant,0Qo5shaHKhNLz5Z0MhYt4c,2
guest:Adam Grant,0TaF88QDTfKwY1IROFB4PM,4
guest:Adam Grant,0XrOqvxlqQI6bmdYHuIVnr,2
guest:Adam Grant,0Y8aCIBP4eSulEA3znmfby,2
guest:Adam Grant,0YlgjXHWL0Lfxnp1LKdx9P,2
guest:Adam Grant,0awxEJH88Xur0GHXuteBLw,1
guest:Adam Grant,0cdhsXRLxvqxKLctFCZrGr,3
guest:Adam Grant,0cpeGk378WZhXWDYRPqces,1
guest:Adam Grant,0kRrgDDxdD9JTqvHY0A5DG,2
guest:Adam Grant,0tTHgNypFZivU2YqAmSa2B,1
guest:Adam Grant,0wjYlCNxLDgFUUjZMaP6Dx,9
guest:Adam Grant,0zUGqUkBdL3Cc5IP8DtUEY,3
guest:Adam Grant,122imavATqSE7eCyXIcqZL,2
guest:Adam Grant,14Owb2Or1iorLBgFv8qBHi,3
guest:Adam Grant,1AbzWQIcnXKtDkV4Qw9UOY,2
guest:Adam Grant,1Az1R3Dh3SM5SNWGtKkdIt,2
guest:Adam Grant,1CfW319UkBMVhCXfei8huv,10
guest:Adam Grant,1FRV4wrtySgr1XuXJbJx1U,2
guest:Adam Grant,1JwjWuErRM3FIRtu0FKikN,2
guest:Adam Grant,1PyphXayU14C9VmJfdIt9M,2
guest:Adam Grant,1Qj5n3z0dLSAFerCHvgMpr,2
guest:Adam Grant,1RPYNmGmTwSf8WzTfTZ68e,2
guest:Adam Grant,1SlYCHv2LiBM5iqQp8jaI8,4
guest:Adam Grant,1UKo9NI7ZoqzYm2xjhfjHM,2
guest:Adam Grant,1UpjOrXiDCANThT21viw4E,3
guest:Adam Grant,1VXcH8QHkjRcTCEd88U3ti,38
guest:Adam Grant,1VyK52NSZHaDKeMJzT4TSM,3
guest:Adam Grant,1bJRgaFZHuzifad4IAApFR,4
guest:Adam Grant,1bOAo9yLLGUsjvTuajRTXC,2
guest:Adam Grant,1eceK4JqeYjCx5GXn4h1k5,4
guest:Adam Grant,1hAE2QpiA1yOBJ6QyVFqpI,11
guest:Adam Grant,1iwcjlgreRD0nJxgtdwMLx,12
guest:Adam Grant,1m4Fqv8RtqFxwn2VNi6M7v,4
guest:Adam Grant,1nARKz2vTIOb7gC9dusE4b,2
guest:Adam Grant,1vfOw64nKjQ8LzZDPCfRaO,2
guest:Adam Grant,1yUfLj4f0KAWrzRbjJeItK,4
guest:Adam Grant,23JyccHPmQ8fzmpmnvQ6hR,2
guest:Adam Grant,24eKquCRxqOzM7qwVyVcNd,2
guest:Adam Grant,25oudfUhSu7JExaey76rE9,4
guest:Adam Grant,28N1AgFBcjwJSCiR6fjapK,2
guest:Adam Grant,2AfSTbvSSJmryXkCt5O4Y3,1
guest:Adam Grant,2FKKBenMavZsJQrtrqQU6N,2
guest:Adam Grant,2LOJaYKijiwNefCvzczyib,6
guest:Adam Grant,2NCujIiYYaZ3vI1ZE9VBts,2
guest:Adam Grant,2TGszFKJEbQuEXrWduK63l,2
guest:Adam Grant,2aoNkInl8NmE2X2xT1DOQQ,18
guest:Adam Grant,2glY8RTOKqO9Zu5BCkmDwB,2
guest:Adam Grant,2mkB9OoukPVKCTKSuAIgCq,2
guest:Adam Grant,2r75HRXpsJraJ3Akyo8kSg,1
guest:Adam Grant,2skqjPwaXjkFePVDdKT37Q,1
guest:Adam Grant,2yPlb6ynbhTJbziSIcykQd,2
guest:Adam Grant,3C7xkAn7ynpZfEKT3X1uWX,2
guest:Adam Grant,3ChDtTY9JyupfNGxcV39b3,2
guest:Adam Grant,3IcR07iNbmI7rZiuJpi32d,2
guest:Adam Grant,3WKI7p6tuq6kJRw1xfRS7Q,1
guest:Adam Grant,3a9c0iOyefAvaaeg06Tau4,2
guest:Adam Grant,3btft3E1KPwj0yCOcOvqhR,1
guest:Adam Grant,3fQkNGzE1mBF1VrxVTY0oo,2
guest:Adam Grant,3i5TCKhc6GY42pOWkpWveG,2
guest:Adam Grant,3mDnxkRxzC9xmvWnTnP2NB,2
guest:Adam Grant,3nG6FJpSMMWD5cjTsdRQ9Q,1
guest:Adam Grant,3oEPsPKDhPVoNNL7pH5db6,17
guest:Adam Grant,3rvbOsztUpA66c5B9bI0eP,1
guest:Adam Grant,3sc2RbtWB0AhkPg1QOyjov,2
guest:Adam Grant,42ntT7XnfdbbYetUQu0vu5,4
guest:Adam Grant,46mnRnn8HIfKAFfYHmwgnx,1
guest:Adam Grant,47VE90Cittmo6TGGFqg2xf,2
guest:Adam Grant,47jQcyRcrM1EoV0sU39N9F,3
guest:Adam Grant,497wxyffxrnBuMwBtyj1qO,19
guest:Adam Grant,4AEo5EICcTsUYyJbXs7Gyt,2
guest:Adam Grant,4Azmeda5QeE6zGtu3k8GEa,6
guest:Adam Grant,4EcyJDMDSJeC1lxVCEksTU,4
guest:Adam Grant,4LnMCFQGs6R0VGeDBheZBK,2
guest:Adam Grant,4MU3RFGELZxPT9XHVwTNPR,3
guest:Adam Grant,4POIiQQjnQOuz0AqnLk3KZ,2
